Id,System,Area,Module,Options,Menu,Acesso
1,TRAX,Plan_Manutenção_Linha,Production,AMIS_Compliance_Interface,UPDATE,NO
2,TRAX,Plan_Manutenção_Heavy,Production,AMIS_Compliance_Interface,UPDATE,NO
3,TRAX,PCP,Production,AMIS_Compliance_Interface,UPDATE,NO
4,TRAX,PCO,Production,AMIS_Compliance_Interface,UPDATE,NO
5,TRAX,Qualidade_Manutenção,Production,AMIS_Compliance_Interface,UPDATE,NO
6,TRAX,Manutenção_Linha,Production,AMIS_Compliance_Interface,UPDATE,NO
7,TRAX,MCC,Production,AMIS_Compliance_Interface,UPDATE,NO
8,TRAX,Plan_Materiais,Production,AMIS_Compliance_Interface,UPDATE,NO
9,TRAX,GSE,Production,AMIS_Compliance_Interface,UPDATE,NO
10,TRAX,Simulador,Production,AMIS_Compliance_Interface,UPDATE,NO
11,TRAX,Almoxarifado,Production,AMIS_Compliance_Interface,UPDATE,NO
12,TRAX,Suprimentos,Production,AMIS_Compliance_Interface,UPDATE,NO
13,TRAX,Redelivery,Production,AMIS_Compliance_Interface,UPDATE,NO
14,TRAX,Eng_Manutenção,Production,AMIS_Compliance_Interface,UPDATE,NO
15,TRAX,Plan_Compras,Production,AMIS_Compliance_Interface,UPDATE,NO
16,TRAX,Plan_Manutenção_Linha,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
17,TRAX,Plan_Manutenção_Heavy,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
18,TRAX,PCP,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
19,TRAX,PCO,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
20,TRAX,Qualidade_Manutenção,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
21,TRAX,Manutenção_Linha,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
22,TRAX,MCC,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
23,TRAX,Plan_Materiais,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
24,TRAX,GSE,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
25,TRAX,Simulador,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
26,TRAX,Almoxarifado,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
27,TRAX,Suprimentos,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
28,TRAX,Redelivery,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
29,TRAX,Eng_Manutenção,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
30,TRAX,Plan_Compras,Production,AMIS_EngineAPU_Transaction_Interface,UPDATE,NO
31,TRAX,Plan_Manutenção_Linha,Production,AMISAVMS_Notification,UPDATE,NO
32,TRAX,Plan_Manutenção_Heavy,Production,AMISAVMS_Notification,UPDATE,NO
33,TRAX,PCP,Production,AMISAVMS_Notification,UPDATE,NO
34,TRAX,PCO,Production,AMISAVMS_Notification,UPDATE,NO
35,TRAX,Qualidade_Manutenção,Production,AMISAVMS_Notification,UPDATE,NO
36,TRAX,Manutenção_Linha,Production,AMISAVMS_Notification,UPDATE,NO
37,TRAX,MCC,Production,AMISAVMS_Notification,UPDATE,NO
38,TRAX,Plan_Materiais,Production,AMISAVMS_Notification,UPDATE,NO
39,TRAX,GSE,Production,AMISAVMS_Notification,UPDATE,NO
40,TRAX,Simulador,Production,AMISAVMS_Notification,UPDATE,NO
41,TRAX,Almoxarifado,Production,AMISAVMS_Notification,UPDATE,NO
42,TRAX,Suprimentos,Production,AMISAVMS_Notification,UPDATE,NO
43,TRAX,Redelivery,Production,AMISAVMS_Notification,UPDATE,NO
44,TRAX,Eng_Manutenção,Production,AMISAVMS_Notification,UPDATE,NO
45,TRAX,Plan_Compras,Production,AMISAVMS_Notification,UPDATE,NO
46,TRAX,Plan_Manutenção_Linha,Production,AVMS_Interface_Import,UPDATE,NO
47,TRAX,Plan_Manutenção_Heavy,Production,AVMS_Interface_Import,UPDATE,NO
48,TRAX,PCP,Production,AVMS_Interface_Import,UPDATE,NO
49,TRAX,PCO,Production,AVMS_Interface_Import,UPDATE,NO
50,TRAX,Qualidade_Manutenção,Production,AVMS_Interface_Import,UPDATE,NO
51,TRAX,Manutenção_Linha,Production,AVMS_Interface_Import,UPDATE,NO
52,TRAX,MCC,Production,AVMS_Interface_Import,UPDATE,NO
53,TRAX,Plan_Materiais,Production,AVMS_Interface_Import,UPDATE,NO
54,TRAX,GSE,Production,AVMS_Interface_Import,UPDATE,NO
55,TRAX,Simulador,Production,AVMS_Interface_Import,UPDATE,NO
56,TRAX,Almoxarifado,Production,AVMS_Interface_Import,UPDATE,NO
57,TRAX,Suprimentos,Production,AVMS_Interface_Import,UPDATE,NO
58,TRAX,Redelivery,Production,AVMS_Interface_Import,UPDATE,NO
59,TRAX,Eng_Manutenção,Production,AVMS_Interface_Import,UPDATE,NO
60,TRAX,Plan_Compras,Production,AVMS_Interface_Import,UPDATE,NO
61,TRAX,Plan_Manutenção_Linha,Production,Airline_Authorization,UPDATE,NO
62,TRAX,Plan_Manutenção_Heavy,Production,Airline_Authorization,UPDATE,NO
63,TRAX,PCP,Production,Airline_Authorization,UPDATE,NO
64,TRAX,PCO,Production,Airline_Authorization,UPDATE,NO
65,TRAX,Qualidade_Manutenção,Production,Airline_Authorization,UPDATE,NO
66,TRAX,Manutenção_Linha,Production,Airline_Authorization,UPDATE,NO
67,TRAX,MCC,Production,Airline_Authorization,UPDATE,NO
68,TRAX,Plan_Materiais,Production,Airline_Authorization,UPDATE,NO
69,TRAX,GSE,Production,Airline_Authorization,UPDATE,NO
70,TRAX,Simulador,Production,Airline_Authorization,UPDATE,NO
71,TRAX,Almoxarifado,Production,Airline_Authorization,UPDATE,NO
72,TRAX,Suprimentos,Production,Airline_Authorization,UPDATE,NO
73,TRAX,Redelivery,Production,Airline_Authorization,UPDATE,NO
74,TRAX,Eng_Manutenção,Production,Airline_Authorization,UPDATE,NO
75,TRAX,Plan_Compras,Production,Airline_Authorization,UPDATE,NO
76,TRAX,Plan_Manutenção_Linha,Production,Customer_Addbill_Master,UPDATE,NO
77,TRAX,Plan_Manutenção_Heavy,Production,Customer_Addbill_Master,UPDATE,NO
78,TRAX,PCP,Production,Customer_Addbill_Master,UPDATE,NO
79,TRAX,PCO,Production,Customer_Addbill_Master,UPDATE,NO
80,TRAX,Qualidade_Manutenção,Production,Customer_Addbill_Master,UPDATE,NO
81,TRAX,Manutenção_Linha,Production,Customer_Addbill_Master,UPDATE,NO
82,TRAX,MCC,Production,Customer_Addbill_Master,UPDATE,NO
83,TRAX,Plan_Materiais,Production,Customer_Addbill_Master,UPDATE,NO
84,TRAX,GSE,Production,Customer_Addbill_Master,UPDATE,NO
85,TRAX,Simulador,Production,Customer_Addbill_Master,UPDATE,NO
86,TRAX,Almoxarifado,Production,Customer_Addbill_Master,UPDATE,NO
87,TRAX,Suprimentos,Production,Customer_Addbill_Master,UPDATE,NO
88,TRAX,Redelivery,Production,Customer_Addbill_Master,UPDATE,NO
89,TRAX,Eng_Manutenção,Production,Customer_Addbill_Master,UPDATE,NO
90,TRAX,Plan_Compras,Production,Customer_Addbill_Master,UPDATE,NO
91,TRAX,Plan_Manutenção_Linha,Production,Customer_Authorization,UPDATE,NO
92,TRAX,Plan_Manutenção_Heavy,Production,Customer_Authorization,UPDATE,NO
93,TRAX,PCP,Production,Customer_Authorization,UPDATE,NO
94,TRAX,PCO,Production,Customer_Authorization,UPDATE,NO
95,TRAX,Qualidade_Manutenção,Production,Customer_Authorization,UPDATE,NO
96,TRAX,Manutenção_Linha,Production,Customer_Authorization,UPDATE,NO
97,TRAX,MCC,Production,Customer_Authorization,UPDATE,NO
98,TRAX,Plan_Materiais,Production,Customer_Authorization,UPDATE,NO
99,TRAX,GSE,Production,Customer_Authorization,UPDATE,NO
100,TRAX,Simulador,Production,Customer_Authorization,UPDATE,NO
101,TRAX,Almoxarifado,Production,Customer_Authorization,UPDATE,NO
102,TRAX,Suprimentos,Production,Customer_Authorization,UPDATE,NO
103,TRAX,Redelivery,Production,Customer_Authorization,UPDATE,NO
104,TRAX,Eng_Manutenção,Production,Customer_Authorization,UPDATE,NO
105,TRAX,Plan_Compras,Production,Customer_Authorization,UPDATE,NO
106,TRAX,Plan_Manutenção_Linha,Production,Customer_Contract,UPDATE,NO
107,TRAX,Plan_Manutenção_Heavy,Production,Customer_Contract,UPDATE,NO
108,TRAX,PCP,Production,Customer_Contract,UPDATE,NO
109,TRAX,PCO,Production,Customer_Contract,UPDATE,NO
110,TRAX,Qualidade_Manutenção,Production,Customer_Contract,UPDATE,NO
111,TRAX,Manutenção_Linha,Production,Customer_Contract,UPDATE,NO
112,TRAX,MCC,Production,Customer_Contract,UPDATE,NO
113,TRAX,Plan_Materiais,Production,Customer_Contract,UPDATE,NO
114,TRAX,GSE,Production,Customer_Contract,UPDATE,NO
115,TRAX,Simulador,Production,Customer_Contract,UPDATE,NO
116,TRAX,Almoxarifado,Production,Customer_Contract,UPDATE,NO
117,TRAX,Suprimentos,Production,Customer_Contract,UPDATE,NO
118,TRAX,Redelivery,Production,Customer_Contract,UPDATE,NO
119,TRAX,Eng_Manutenção,Production,Customer_Contract,UPDATE,NO
120,TRAX,Plan_Compras,Production,Customer_Contract,UPDATE,NO
121,TRAX,Plan_Manutenção_Linha,Production,Employee_Attendance_Supervisor,UPDATE,NO
122,TRAX,Plan_Manutenção_Heavy,Production,Employee_Attendance_Supervisor,UPDATE,NO
123,TRAX,PCP,Production,Employee_Attendance_Supervisor,UPDATE,NO
124,TRAX,PCO,Production,Employee_Attendance_Supervisor,UPDATE,NO
125,TRAX,Qualidade_Manutenção,Production,Employee_Attendance_Supervisor,UPDATE,NO
126,TRAX,Manutenção_Linha,Production,Employee_Attendance_Supervisor,UPDATE,NO
127,TRAX,MCC,Production,Employee_Attendance_Supervisor,UPDATE,NO
128,TRAX,Plan_Materiais,Production,Employee_Attendance_Supervisor,UPDATE,NO
129,TRAX,GSE,Production,Employee_Attendance_Supervisor,UPDATE,NO
130,TRAX,Simulador,Production,Employee_Attendance_Supervisor,UPDATE,NO
131,TRAX,Almoxarifado,Production,Employee_Attendance_Supervisor,UPDATE,NO
132,TRAX,Suprimentos,Production,Employee_Attendance_Supervisor,UPDATE,NO
133,TRAX,Redelivery,Production,Employee_Attendance_Supervisor,UPDATE,NO
134,TRAX,Eng_Manutenção,Production,Employee_Attendance_Supervisor,UPDATE,NO
135,TRAX,Plan_Compras,Production,Employee_Attendance_Supervisor,UPDATE,NO
136,TRAX,Plan_Manutenção_Linha,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
137,TRAX,Plan_Manutenção_Heavy,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
138,TRAX,PCP,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
139,TRAX,PCO,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
140,TRAX,Qualidade_Manutenção,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
141,TRAX,Manutenção_Linha,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
142,TRAX,MCC,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
143,TRAX,Plan_Materiais,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
144,TRAX,GSE,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
145,TRAX,Simulador,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
146,TRAX,Almoxarifado,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
147,TRAX,Suprimentos,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
148,TRAX,Redelivery,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
149,TRAX,Eng_Manutenção,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
150,TRAX,Plan_Compras,Production,Employee_Sign_On__Sign_Off,UPDATE,NO
151,TRAX,PCP,Production,Engineering_Pending_Release,UPDATE,NO
152,TRAX,PCO,Production,Engineering_Pending_Release,UPDATE,NO
153,TRAX,Qualidade_Manutenção,Production,Engineering_Pending_Release,UPDATE,NO
154,TRAX,Manutenção_Linha,Production,Engineering_Pending_Release,UPDATE,NO
155,TRAX,MCC,Production,Engineering_Pending_Release,UPDATE,NO
156,TRAX,Plan_Materiais,Production,Engineering_Pending_Release,UPDATE,NO
157,TRAX,GSE,Production,Engineering_Pending_Release,UPDATE,NO
158,TRAX,Simulador,Production,Engineering_Pending_Release,UPDATE,NO
159,TRAX,Almoxarifado,Production,Engineering_Pending_Release,UPDATE,NO
160,TRAX,Suprimentos,Production,Engineering_Pending_Release,UPDATE,NO
161,TRAX,Redelivery,Production,Engineering_Pending_Release,UPDATE,NO
162,TRAX,Eng_Manutenção,Production,Engineering_Pending_Release,UPDATE,NO
163,TRAX,Plan_Compras,Production,Engineering_Pending_Release,UPDATE,NO
164,TRAX,Qualidade_Manutenção,Production,WO,UPDATE,NO
165,TRAX,GSE,Production,WO,UPDATE,NO
166,TRAX,Almoxarifado,Production,WO,UPDATE,NO
167,TRAX,Suprimentos,Production,WO,UPDATE,NO
